Country,Estimate_year,Estimate_month,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday
Cuba,1011024,84252,3177,1741,1670,3220,3838,4264,3153
Cyprus,2643648,220304,7332,6381,7241,7670,9579,8266,8607
Czech Republic,31466736,2622228,60601,46181,43661,69096,121716,157560,156742
Denmark,9019152,751596,25244,21985,22575,24227,29653,33121,31094
Djibouti,167232,13936,290,321,513,557,620,494,689
Dominican Republic,10058544,838212,30676,19749,20738,31106,35449,34920,36915
Ecuador,356403792,29700316,1405422,185643,138990,1193707,1581362,1413620,1506335
Egypt,170575920,14214660,385621,41997,533013,578591,616168,684387,713888
El Salvador,15434784,1286232,70174,33424,38183,28501,42473,50143,58660
Equatorial Guinea,180672,15056,896,91,29,603,719,839,587
Estonia,3264912,272076,8700,7207,7927,8163,9028,13386,13608
Ethiopia,27885360,2323780,90458,52264,20424,93123,107341,113856,103479
Fiji,811296,67608,1881,1973,2464,3113,2552,2920,1999
Finland,1531776,127648,3244,3707,5375,5345,5214,4829,4198
Gabon,7455360,621280,23522,23435,22018,20217,22243,21405,22480
Georgia,937536,78128,2224,1781,3550,2350,2992,2727,3908
Germany,309221472,25768456,884889,638600,639339,880835,1127396,1171657,1099398
Ghana,6661392,555116,13413,8804,24722,24806,25798,28662,12574
Greece,9368016,780668,13327,12067,25321,31434,35909,38029,39080
Guatemala,9198192,766516,17112,13093,25976,32929,36969,34658,30892
Guinea,325584,27132,923,544,808,1277,1217,1110,904
